,Country,Abreviation,Year,Total Population,GDP,Food_Expenditure_2017
25578,Macedonia,MKD,2015,2079000.0,4834.13672297387,1064.0
25579,Macedonia,MKD,2016,2081000.0,5163.250253194121,1108.0
26238,Malaysia,MYS,2015,30271000.0,9648.553455159119,1122.0
26239,Malaysia,MYS,2016,30685000.0,9508.237749643,1118.0
27919,Mexico,MEX,2015,121858000.0,9290.76062857618,1421.0
27920,Mexico,MEX,2016,123333000.0,8443.69192417663,1331.0
29178,Montenegro,MNE,2015,627000.0,6514.27269528653,1171.0
29179,Montenegro,MNE,2016,627000.0,7028.94013201519,1173.0
29468,Morocco,MAR,2015,34664000.0,2864.09291462974,719.0
29469,Morocco,MAR,2016,35126000.0,2892.7755605473603,709.0
30789,Netherlands,NLD,2015,16938000.0,44746.334048523604,2255.0
30790,Netherlands,NLD,2016,16981000.0,45637.8867460287,2341.0
31080,New Zealand,NZL,2015,4615000.0,38649.3784975761,3188.0
31081,New Zealand,NZL,2016,4659000.0,40331.9591048227,3149.0
31740,Nigeria,NGA,2015,181136992.0,2655.15797711367,1132.0
31741,Nigeria,NGA,2016,185960000.0,2175.67344162233,1028.0
32444,Norway,NOR,2015,5200000.0,74498.13763927,3538.0
32445,Norway,NOR,2016,5251000.0,70890.0355687386,3524.0
33150,Pakistan,PAK,2015,199427008.0,1428.63762767431,458.0
33151,Pakistan,PAK,2016,203631008.0,1442.28584033183,490.0
34471,Peru,PER,2015,30471000.0,6053.112414929239,1432.0
34472,Peru,PER,2016,30926000.0,6031.36609086896,1068.0
34691,Philippines,PHL,2015,102113000.0,2878.33837046989,894.0
34692,Philippines,PHL,2016,103664000.0,2950.91390303711,925.0
34912,Poland,POL,2015,38034000.0,12566.4834429716,1188.0
34913,Poland,POL,2016,37989000.0,12415.0432922899,1181.0
35132,Portugal,PRT,2015,10368000.0,19252.6349536042,2251.0
35133,Portugal,PRT,2016,10326000.0,19871.7189725955,2311.0
35538,Qatar,QAT,2015,2566000.0,66346.5226685873,1516.0
35539,Qatar,QAT,2016,2654000.0,59324.338773277304,1570.0
35829,Romania,ROU,2015,19925000.0,8978.38925434643,1486.0
35830,Romania,ROU,2016,19796000.0,9532.16717438481,1712.0
36049,Russia,RUS,2015,144984992.0,9346.61636024231,1319.0
36050,Russia,RUS,2016,145275008.0,8759.036117752092,1305.0
38090,Saudi Arabia,SAU,2015,31718000.0,20732.861721856498,1954.0
38091,Saudi Arabia,SAU,2016,32443000.0,19982.085631405902,1664.0
38531,Serbia,SRB,2015,8877000.0,5237.2553342313595,932.0
38532,Serbia,SRB,2016,8854000.0,5426.19827887247,934.0
39193,Singapore,SGP,2015,5592000.0,54940.8581377449,1336.0
39194,Singapore,SGP,2016,5654000.0,55243.132875717696,1297.0
39483,Slovakia,SVK,2015,5436000.0,16132.8603100425,1545.0
39484,Slovakia,SVK,2016,5442000.0,16529.5409667954,1581.0
39703,Slovenia,SVN,2015,2071000.0,20873.1611094925,1675.0
39704,Slovenia,SVN,2016,2074000.0,21650.2127554094,1821.0
40412,South Africa,ZAF,2015,55386000.0,5746.68112702961,673.0
40413,South Africa,ZAF,2016,56208000.0,5280.017632764911,612.0
40749,South Korea,KOR,2015,50823000.0,27105.076226264,1640.0
40750,South Korea,KOR,2016,50983000.0,27608.247428711602,1683.0
41190,Spain,ESP,2015,46672000.0,25789.519548147597,2002.0
41191,Spain,ESP,2016,46634000.0,26616.757796551003,2138.0
42465,Sweden,SWE,2015,9765000.0,50812.1908597713,2784.0
42466,Sweden,SWE,2016,9836000.0,51844.761261862695,2820.0
42685,Switzerland,CHE,2015,8297000.0,82016.02131294321,3763.0
42686,Switzerland,CHE,2016,8380000.0,79866.0318745681,3631.0
43833,Thailand,THA,2015,68715000.0,5846.394608069129,862.0
43834,Thailand,THA,2016,68971000.0,5979.29354625548,884.0
45004,Tunisia,TUN,2015,11180000.0,3828.1006328942603,643.0
45005,Tunisia,TUN,2016,11304000.0,3688.6463746807794,618.0
45224,Turkey,TUR,2015,78529000.0,10984.8052020041,1440.0
45225,Turkey,TUR,2016,79828000.0,10862.7253802906,1471.0
45444,Turkmenistan,TKM,2015,5565000.0,6432.6687679242605,1414.0
45445,Turkmenistan,TKM,2016,5662000.0,6389.3341427961905,1637.0
46177,Ukraine,UKR,2015,44922000.0,2124.66266591114,513.0
46178,Ukraine,UKR,2016,44714000.0,2185.72803066435,539.0
46397,United Arab Emirates,ARE,2015,9263000.0,39122.049705427205,3159.0
46398,United Arab Emirates,ARE,2016,9361000.0,38517.8003858029,2950.0
46617,United Kingdom,GBR,2015,65860000.0,44305.5546320834,2217.0
46618,United Kingdom,GBR,2016,66298000.0,40412.0336199885,1991.0
46838,United States,USA,2015,320878016.0,56443.81724225821,2392.0
46839,United States,USA,2016,323016000.0,57588.538070582996,2408.0
47187,Uruguay,URY,2015,3412000.0,15524.842468403798,2033.0
47188,Uruguay,URY,2016,3424000.0,15298.3508918226,1990.0
47407,Uzbekistan,UZB,2015,30930000.0,2137.57685230278,380.0
47408,Uzbekistan,UZB,2016,31442000.0,2105.87090478917,369.0
48287,Vietnam,VNM,2015,92677000.0,2065.16909895862,460.0
48288,Vietnam,VNM,2016,93640000.0,2170.64805431211,612.0
